mlb,verifeid_photo,pegar_foto,marca_dagua,texto_na_foto,path_file_photo
MLB1020557637,False,False,False,False,MLB1020557637_PHOTOID625749-MLB49970826281_052022_1.jpg
MLB1020557637,False,False,False,False,MLB1020557637_PHOTOID746268-MLB49970839109_052022_2.jpg
MLB1020557637,False,False,False,False,MLB1020557637_PHOTOID794483-MLB49970798434_052022_4.jpg
MLB1020557637,False,False,False,False,MLB1020557637_PHOTOID894472-MLB49970836199_052022_3.jpg
MLB1020557637,False,False,False,False,MLB1020557637_PHOTOID956644-MLB49970839110_052022_0.jpg
MLB1053770285,False,False,False,False,MLB1053770285_PHOTOID608031-MLB49569035773_042022_2.jpg
MLB1053770285,False,False,False,False,MLB1053770285_PHOTOID676975-MLB49569056740_042022_1.jpg
MLB1053770285,False,False,False,False,MLB1053770285_PHOTOID714026-MLB49569137176_042022_4.jpg
MLB1053770285,False,False,False,False,MLB1053770285_PHOTOID719390-MLB49569060716_042022_0.jpg
MLB1053770285,False,False,False,False,MLB1053770285_PHOTOID812502-MLB49569015815_042022_3.jpg
MLB1054425943,False,False,False,False,MLB1054425943_PHOTOID651210-MLB49374158685_032022_3.jpg
MLB1054425943,False,False,False,False,MLB1054425943_PHOTOID708566-MLB49374227213_032022_4.jpg
MLB1054425943,False,False,False,False,MLB1054425943_PHOTOID839700-MLB49374130869_032022_0.jpg
MLB1054425943,False,False,False,False,MLB1054425943_PHOTOID884711-MLB49374153723_032022_1.jpg
MLB1054425943,False,False,False,False,MLB1054425943_PHOTOID945038-MLB49374128925_032022_5.jpg
MLB1054425943,False,False,False,False,MLB1054425943_PHOTOID997459-MLB49374249112_032022_2.jpg
MLB1094518668,False,False,False,False,MLB1094518668_PHOTOID644174-MLB49396994253_032022_6.jpg
MLB1094518668,False,False,False,False,MLB1094518668_PHOTOID697355-MLB49396923590_032022_1.jpg
MLB1094518668,False,False,False,False,MLB1094518668_PHOTOID717121-MLB49396962626_032022_5.jpg
MLB1094518668,False,False,False,False,MLB1094518668_PHOTOID746869-MLB49396995272_032022_0.jpg
MLB1094518668,False,False,False,False,MLB1094518668_PHOTOID764551-MLB49397034091_032022_4.jpg
MLB1094518668,False,False,False,False,MLB1094518668_PHOTOID917762-MLB49396927605_032022_3.jpg
MLB1094518668,False,False,False,False,MLB1094518668_PHOTOID970505-MLB49396935515_032022_2.jpg
MLB1126279561,False,False,False,False,MLB1126279561_PHOTOID748834-MLB50149119461_052022_4.jpg
MLB1126279561,False,False,False,False,MLB1126279561_PHOTOID839627-MLB50149017823_052022_0.jpg
MLB1126279561,False,False,False,False,MLB1126279561_PHOTOID866407-MLB50149147300_052022_3.jpg
MLB1126279561,False,False,False,False,MLB1126279561_PHOTOID955478-MLB50149195114_052022_2.jpg
MLB1126279561,False,False,False,False,MLB1126279561_PHOTOID958195-MLB50148982935_052022_1.jpg
MLB1148023393,False,False,False,False,MLB1148023393_PHOTOID634992-MLB48832196205_012022_1.jpg
MLB1148023393,False,False,False,False,MLB1148023393_PHOTOID920122-MLB48832161393_012022_2.jpg
MLB1148023393,False,False,False,False,MLB1148023393_PHOTOID970739-MLB50743233953_072022_0.jpg
MLB1168122347,False,False,False,False,MLB1168122347_PHOTOID754676-MLB51899118223_102022_3.jpg
MLB1168122347,False,False,False,False,MLB1168122347_PHOTOID781638-MLB51898976959_102022_1.jpg
MLB1168122347,False,False,False,False,MLB1168122347_PHOTOID787646-MLB51899143065_102022_2.jpg
MLB1168122347,False,False,False,False,MLB1168122347_PHOTOID791940-MLB51899139105_102022_0.jpg
MLB1168785322,False,False,False,False,MLB1168785322_PHOTOID722095-MLB50621177000_072022_3.jpg
MLB1168785322,False,False,False,False,MLB1168785322_PHOTOID839561-MLB50621315261_072022_1.jpg
MLB1168785322,False,False,False,False,MLB1168785322_PHOTOID867605-MLB50621270499_072022_0.jpg
MLB1168785322,False,False,False,False,MLB1168785322_PHOTOID926878-MLB50621237657_072022_2.jpg
MLB1168885822,False,False,False,False,MLB1168885822_PHOTOID615502-MLB49513319133_032022_2.jpg
MLB1168885822,False,False,False,False,MLB1168885822_PHOTOID694421-MLB49513265337_032022_3.jpg
MLB1168885822,False,False,False,False,MLB1168885822_PHOTOID878572-MLB49513276315_032022_0.jpg
MLB1168885822,False,False,False,False,MLB1168885822_PHOTOID991715-MLB49513265336_032022_1.jpg
MLB1171982572,False,False,False,False,MLB1171982572_PHOTOID666107-MLB74523528276_022024_1.jpg
MLB1171982572,False,False,False,False,MLB1171982572_PHOTOID855718-MLB74523339686_022024_4.jpg
MLB1171982572,False,False,False,False,MLB1171982572_PHOTOID889912-MLB74648865003_022024_5.jpg
MLB1171982572,False,False,False,False,MLB1171982572_PHOTOID926098-MLB74648875043_022024_0.jpg
MLB1171982572,False,False,False,False,MLB1171982572_PHOTOID987622-MLB74648697713_022024_2.jpg
MLB1171982572,False,False,False,False,MLB1171982572_PHOTOID993600-MLB74523468950_022024_3.jpg
MLB1172008147,False,False,False,False,MLB1172008147_PHOTOID725704-MLB74523489112_022024_4.jpg
MLB1172008147,False,False,False,False,MLB1172008147_PHOTOID782271-MLB74523489110_022024_3.jpg
MLB1172008147,False,False,False,False,MLB1172008147_PHOTOID785799-MLB74523339904_022024_1.jpg
MLB1172008147,False,False,False,False,MLB1172008147_PHOTOID939880-MLB74648697901_022024_2.jpg
MLB1172008147,False,False,False,False,MLB1172008147_PHOTOID940841-MLB74523587292_022024_5.jpg
MLB1172008147,False,False,False,False,MLB1172008147_PHOTOID988575-MLB74523685338_022024_0.jpg
MLB1172023647,False,False,False,False,MLB1172023647_PHOTOID656651-MLB74648864907_022024_0.jpg
MLB1172023647,False,False,False,False,MLB1172023647_PHOTOID714220-MLB74648331795_022024_5.jpg
MLB1172023647,False,False,False,False,MLB1172023647_PHOTOID722895-MLB74523141722_022024_2.jpg
MLB1172023647,False,False,False,False,MLB1172023647_PHOTOID747362-MLB74648311747_022024_1.jpg
MLB1172023647,False,False,False,False,MLB1172023647_PHOTOID818897-MLB74523141724_022024_4.jpg
MLB1172023647,False,False,False,False,MLB1172023647_PHOTOID861578-MLB74523339576_022024_3.jpg
MLB1172023647,False,False,False,False,MLB1172023647_PHOTOID893813-MLB74648331797_022024_6.jpg
MLB1174181604,False,False,False,False,MLB1174181604_PHOTOID744232-MLB49352554623_032022_1.jpg
MLB1174181604,False,False,False,False,MLB1174181604_PHOTOID787983-MLA51536541161_092022_3.jpg
MLB1174181604,False,False,False,False,MLB1174181604_PHOTOID949562-MLB49352592327_032022_2.jpg
MLB1174181604,False,False,False,False,MLB1174181604_PHOTOID967134-MLA51536541164_092022_0.jpg
MLB1175537757,False,False,False,False,MLB1175537757_PHOTOID686712-MLB48923798212_012022_0.jpg
MLB1175537757,False,False,False,False,MLB1175537757_PHOTOID766711-MLB48923766350_012022_1.jpg
MLB1175537757,False,False,False,False,MLB1175537757_PHOTOID794348-MLB48923819052_012022_3.jpg
MLB1175537757,False,False,False,False,MLB1175537757_PHOTOID824203-MLB48923798211_012022_2.jpg
MLB1209517842,False,False,False,False,MLB1209517842_PHOTOID655974-MLB49580324863_042022_0.jpg
MLB1209517842,False,False,False,False,MLB1209517842_PHOTOID696826-MLB49580412467_042022_3.jpg
MLB1209517842,False,False,False,False,MLB1209517842_PHOTOID755367-MLB51569406485_092022_1.jpg
MLB1209517842,False,False,False,False,MLB1209517842_PHOTOID762453-MLB49580356732_042022_2.jpg
MLB1209517842,False,False,False,False,MLB1209517842_PHOTOID813258-MLB49580324861_042022_4.jpg
MLB1209517842,False,False,False,False,MLB1209517842_PHOTOID838763-MLB49580335763_042022_5.jpg
MLB1234178642,False,False,False,False,MLB1234178642_PHOTOID606398-MLB50161484928_062022_0.jpg
MLB1234178642,False,False,False,False,MLB1234178642_PHOTOID612131-MLB50161494964_062022_1.jpg
MLB1234178642,False,False,False,False,MLB1234178642_PHOTOID815875-MLB50161746077_062022_4.jpg
MLB1234178642,False,False,False,False,MLB1234178642_PHOTOID815921-MLB50161669285_062022_3.jpg
MLB1234178642,False,False,False,False,MLB1234178642_PHOTOID920447-MLB50161591496_062022_2.jpg
MLB1234178642,False,False,False,False,MLB1234178642_PHOTOID951941-MLB50161535696_062022_5.jpg
MLB1240835011,False,False,False,False,MLB1240835011_PHOTOID722429-MLB50185852553_062022_0.jpg
MLB1240835011,False,False,False,False,MLB1240835011_PHOTOID729222-MLB50185898347_062022_1.jpg
MLB1240835011,False,False,False,False,MLB1240835011_PHOTOID754090-MLB50185969073_062022_3.jpg
MLB1240835011,False,False,False,False,MLB1240835011_PHOTOID883342-MLB50185956104_062022_2.jpg
MLB1249104514,False,False,False,False,MLB1249104514_PHOTOID651496-MLB49586719233_042022_1.jpg
MLB1249104514,False,False,False,False,MLB1249104514_PHOTOID722010-MLB49586670580_042022_2.jpg
MLB1249104514,False,False,False,False,MLB1249104514_PHOTOID724567-MLB49586717222_042022_0.jpg
MLB1249104514,False,False,False,False,MLB1249104514_PHOTOID785043-MLB49586678509_042022_3.jpg
MLB1249104514,False,False,False,False,MLB1249104514_PHOTOID804541-MLB49586718229_042022_4.jpg
MLB1262549501,False,False,False,False,MLB1262549501_PHOTOID648341-MLB49375606499_032022_3.jpg
MLB1262549501,False,False,False,False,MLB1262549501_PHOTOID732399-MLB49375606497_032022_1.jpg
MLB1262549501,False,False,False,False,MLB1262549501_PHOTOID775294-MLB49375606501_032022_2.jpg
MLB1262549501,False,False,False,False,MLB1262549501_PHOTOID803961-MLB49375606500_032022_5.jpg
MLB1262549501,False,False,False,False,MLB1262549501_PHOTOID914982-MLB49375606496_032022_0.jpg
MLB1262549501,False,False,False,False,MLB1262549501_PHOTOID995860-MLB49375606498_032022_4.jpg
MLB1320156540,False,False,False,False,MLB1320156540_PHOTOID604572-MLB49575322076_042022_0.jpg
MLB1320156540,False,False,False,False,MLB1320156540_PHOTOID787487-MLB49575322078_042022_3.jpg
MLB1320156540,False,False,False,False,MLB1320156540_PHOTOID934199-MLB49575322075_042022_1.jpg
MLB1320156540,False,False,False,False,MLB1320156540_PHOTOID960170-MLB49575322077_042022_2.jpg
MLB1321475779,False,False,False,False,MLB1321475779_PHOTOID858510-MLB49575148580_042022_3.jpg
MLB1321475779,False,False,False,False,MLB1321475779_PHOTOID862837-MLB49575163407_042022_1.jpg
MLB1321475779,False,False,False,False,MLB1321475779_PHOTOID864003-MLB49575143552_042022_2.jpg
MLB1321475779,False,False,False,False,MLB1321475779_PHOTOID874580-MLB49575185220_042022_0.jpg
MLB1324959864,False,False,False,False,MLB1324959864_PHOTOID828237-MLB49399278345_032022_0.jpg
MLB1324959864,False,False,False,False,MLB1324959864_PHOTOID847151-MLB49399259420_032022_3.jpg
MLB1324959864,False,False,False,False,MLB1324959864_PHOTOID868478-MLB49399264415_032022_1.jpg
MLB1324959864,False,False,False,False,MLB1324959864_PHOTOID992261-MLB49399309146_032022_2.jpg
MLB1342340319,False,False,False,False,MLB1342340319_PHOTOID634284-MLB49958300680_052022_0.jpg
MLB1342340319,False,False,False,False,MLB1342340319_PHOTOID678053-MLB49958310553_052022_3.jpg
MLB1342340319,False,False,False,False,MLB1342340319_PHOTOID804956-MLB49958277910_052022_2.jpg
MLB1342340319,False,False,False,False,MLB1342340319_PHOTOID857429-MLB49958363015_052022_1.jpg
MLB1344290593,False,False,False,False,MLB1344290593_PHOTOID685625-MLB49951655523_052022_1.jpg
MLB1344290593,False,False,False,False,MLB1344290593_PHOTOID730833-MLB49951522814_052022_2.jpg
MLB1344290593,False,False,False,False,MLB1344290593_PHOTOID826078-MLB49951607645_052022_3.jpg
MLB1344290593,False,False,False,False,MLB1344290593_PHOTOID873077-MLB49951662433_052022_0.jpg
MLB1507544660,False,False,False,False,MLB1507544660_PHOTOID759185-MLB48860844850_012022_4.jpg
MLB1507544660,False,False,False,False,MLB1507544660_PHOTOID835493-MLB48860991152_012022_3.jpg
MLB1507544660,False,False,False,False,MLB1507544660_PHOTOID876189-MLB79200502494_092024_2.jpg
MLB1507544660,False,False,False,False,MLB1507544660_PHOTOID941394-MLB79200492794_092024_1.jpg
MLB1507544660,False,False,False,False,MLB1507544660_PHOTOID959304-MLB79200571390_092024_0.jpg
MLB1596874668,False,False,False,False,MLB1596874668_PHOTOID757299-MLB51233397429_082022_0.jpg
MLB1596874668,False,False,False,False,MLB1596874668_PHOTOID804783-MLB49461172356_032022_1.jpg
MLB1624302663,False,False,False,False,MLB1624302663_PHOTOID727090-MLB53439606719_012023_1.jpg
MLB1624302663,False,False,False,False,MLB1624302663_PHOTOID736557-MLB53439606720_012023_3.jpg
MLB1624302663,False,False,False,False,MLB1624302663_PHOTOID812850-MLB53439606718_012023_0.jpg
MLB1624302663,False,False,False,False,MLB1624302663_PHOTOID841387-MLB53439606717_012023_4.jpg
MLB1624302663,False,False,False,False,MLB1624302663_PHOTOID975512-MLB53439606716_012023_2.jpg
MLB1671598144,False,False,False,False,MLB1671598144_PHOTOID742391-MLB43633799015_092020_2.jpg
MLB1671598144,False,False,False,False,MLB1671598144_PHOTOID778297-MLB43633799014_092020_3.jpg
MLB1671598144,False,False,False,False,MLB1671598144_PHOTOID870882-MLB43633799016_092020_0.jpg
MLB1671598144,False,False,False,False,MLB1671598144_PHOTOID876040-MLB43633799013_092020_1.jpg
MLB1671598144,False,False,False,False,MLB1671598144_PHOTOID917571-MLB43633799012_092020_4.jpg
MLB1862968186,False,False,False,False,MLB1862968186_PHOTOID653616-MLB45798124762_052021_0.jpg
MLB1862968186,False,False,False,False,MLB1862968186_PHOTOID673690-MLB45798124765_052021_2.jpg
MLB1862968186,False,False,False,False,MLB1862968186_PHOTOID696991-MLB45798124763_052021_3.jpg
MLB1862968186,False,False,False,False,MLB1862968186_PHOTOID840226-MLB45798124764_052021_1.jpg
MLB1918010550,False,False,False,False,MLB1918010550_PHOTOID623420-MLB51733389655_092022_3.jpg
MLB1918010550,False,False,False,False,MLB1918010550_PHOTOID632084-MLB51733631058_092022_0.jpg
MLB1918010550,False,False,False,False,MLB1918010550_PHOTOID772194-MLB51733594088_092022_4.jpg
MLB1918010550,False,False,False,False,MLB1918010550_PHOTOID874830-MLB51733631056_092022_1.jpg
MLB1918010550,False,False,False,False,MLB1918010550_PHOTOID878617-MLB51733556117_092022_2.jpg
MLB1918010550,False,False,False,False,MLB1918010550_PHOTOID895424-MLB51733485283_092022_5.jpg
MLB1971034941,False,False,False,False,MLB1971034941_PHOTOID631125-MLB51811946956_102022_4.jpg
MLB1971034941,False,False,False,False,MLB1971034941_PHOTOID779401-MLB51812049594_102022_6.jpg
MLB1971034941,False,False,False,False,MLB1971034941_PHOTOID810517-MLB51812089448_102022_5.jpg
MLB1971034941,False,False,False,False,MLB1971034941_PHOTOID820881-MLB51812119322_102022_1.jpg
MLB1971034941,False,False,False,False,MLB1971034941_PHOTOID848742-MLB51812064517_102022_0.jpg
MLB1971034941,False,False,False,False,MLB1971034941_PHOTOID916435-MLB51812112357_102022_2.jpg
MLB1971034941,False,False,False,False,MLB1971034941_PHOTOID977490-MLB51812018584_102022_3.jpg
MLB1976257055,False,False,False,False,MLB1976257055_PHOTOID693529-MLB78526024956_082024_1.jpg
MLB1976257055,False,False,False,False,MLB1976257055_PHOTOID834044-MLB48861277942_012022_2.jpg
MLB1976257055,False,False,False,False,MLB1976257055_PHOTOID976332-MLB78758652467_082024_0.jpg
MLB1989999273,False,False,False,False,MLB1989999273_PHOTOID629338-MLB71295392223_082023_0.jpg
MLB1989999273,False,False,False,False,MLB1989999273_PHOTOID795625-MLB71295392221_082023_2.jpg
MLB1989999273,False,False,False,False,MLB1989999273_PHOTOID963882-MLB71295392225_082023_1.jpg
MLB1990007354,False,False,False,False,MLB1990007354_PHOTOID613176-MLB71253911076_082023_2.jpg
MLB1990007354,False,False,False,False,MLB1990007354_PHOTOID627224-MLB71253911080_082023_1.jpg
MLB1990007354,False,False,False,False,MLB1990007354_PHOTOID651295-MLB71253911078_082023_0.jpg
MLB2033808285,False,False,False,False,MLB2033808285_PHOTOID664542-MLB48069133501_102021_3.jpg
MLB2033808285,False,False,False,False,MLB2033808285_PHOTOID685010-MLB48069133500_102021_1.jpg
MLB2033808285,False,False,False,False,MLB2033808285_PHOTOID723137-MLB48069133504_102021_2.jpg
MLB2033808285,False,False,False,False,MLB2033808285_PHOTOID807545-MLB48069133502_102021_5.jpg
MLB2033808285,False,False,False,False,MLB2033808285_PHOTOID831112-MLB48069133505_102021_0.jpg
MLB2033808285,False,False,False,False,MLB2033808285_PHOTOID960951-MLB48069133503_102021_4.jpg
MLB2060730097,False,False,False,False,MLB2060730097_PHOTOID682875-MLB47950567576_102021_2.jpg
MLB2060730097,False,False,False,False,MLB2060730097_PHOTOID706251-MLB47950567575_102021_0.jpg
