mlb,verifeid_photo,pegar_foto,marca_dagua,texto_na_foto,path_file_photo
MLB1004309690,False,False,False,False,MLB1004309690_PHOTOID694067-MLB31663444497_082019_0.jpg
MLB1011263428,False,False,False,False,MLB1011263428_PHOTOID971709-MLB31026704455_062019_0.jpg
MLB1023291143,False,False,False,False,MLB1023291143_PHOTOID614517-MLB31100904718_062019_2.jpg
MLB1023291143,False,False,False,False,MLB1023291143_PHOTOID620177-MLB31100891365_062019_3.jpg
MLB1023291143,False,False,False,False,MLB1023291143_PHOTOID742205-MLB27341814702_052018_1.jpg
MLB1023291143,False,False,False,False,MLB1023291143_PHOTOID832861-MLB31100889429_062019_0.jpg
MLB1025694669,False,False,False,False,MLB1025694669_PHOTOID664818-MLB75478041323_032024_0.jpg
MLB1056391064,False,False,False,False,MLB1056391064_PHOTOID625493-MLB31117411768_062019_2.jpg
MLB1056391064,False,False,False,False,MLB1056391064_PHOTOID794441-MLB31117403483_062019_0.jpg
MLB1056391064,False,False,False,False,MLB1056391064_PHOTOID823304-MLB27597366217_062018_1.jpg
MLB1056391064,False,False,False,False,MLB1056391064_PHOTOID863383-MLB31117417036_062019_3.jpg
MLB1062396025,False,False,False,False,MLB1062396025_PHOTOID613912-MLB73239239408_122023_5.jpg
MLB1062396025,False,False,False,False,MLB1062396025_PHOTOID679433-MLB79232258131_092024_4.jpg
MLB1062396025,False,False,False,False,MLB1062396025_PHOTOID786828-MLB79232219135_092024_0.jpg
MLB1062396025,False,False,False,False,MLB1062396025_PHOTOID831109-MLB79232219129_092024_1.jpg
MLB1062396025,False,False,False,False,MLB1062396025_PHOTOID837685-MLB78992776038_092024_3.jpg
MLB1062396025,False,False,False,False,MLB1062396025_PHOTOID905042-MLB78992736902_092024_2.jpg
MLB1064387783,False,False,False,False,MLB1064387783_PHOTOID658850-MLB31064448299_062019_0.jpg
MLB1064387783,False,False,False,False,MLB1064387783_PHOTOID983847-MLB31064448298_062019_1.jpg
MLB1082480992,False,False,False,False,MLB1082480992_PHOTOID870142-MLB40194962324_122019_0.jpg
MLB1143825381,False,False,False,False,MLB1143825381_PHOTOID750965-MLB75048979679_032024_4.jpg
MLB1143825381,False,False,False,False,MLB1143825381_PHOTOID881174-MLB74910576302_032024_1.jpg
MLB1143825381,False,False,False,False,MLB1143825381_PHOTOID950439-MLB76493319111_052024_3.jpg
MLB1143825381,False,False,False,False,MLB1143825381_PHOTOID977322-MLB75048949605_032024_2.jpg
MLB1143825381,False,False,False,False,MLB1143825381_PHOTOID987371-MLB74910409566_032024_0.jpg
MLB1146407230,False,False,False,False,MLB1146407230_PHOTOID720153-MLB70629964791_072023_4.jpg
MLB1146407230,False,False,False,False,MLB1146407230_PHOTOID725848-MLB76106241455_042024_3.jpg
MLB1146407230,False,False,False,False,MLB1146407230_PHOTOID802533-MLB73755318357_012024_2.jpg
MLB1146407230,False,False,False,False,MLB1146407230_PHOTOID805043-MLB72817071133_112023_0.jpg
MLB1146407230,False,False,False,False,MLB1146407230_PHOTOID996203-MLB72742142212_112023_1.jpg
MLB1146607694,False,False,False,False,MLB1146607694_PHOTOID787081-MLB72666702782_112023_4.jpg
MLB1146607694,False,False,False,False,MLB1146607694_PHOTOID929395-MLB77680075720_072024_0.jpg
MLB1146607694,False,False,False,False,MLB1146607694_PHOTOID942631-MLB77438905729_072024_3.jpg
MLB1146607694,False,False,False,False,MLB1146607694_PHOTOID946765-MLB77224332066_072024_2.jpg
MLB1146607694,False,False,False,False,MLB1146607694_PHOTOID948691-MLB77899236589_072024_1.jpg
MLB1148949114,False,False,False,False,MLB1148949114_PHOTOID666824-MLB54792405611_042023_2.jpg
MLB1148949114,False,False,False,False,MLB1148949114_PHOTOID872257-MLB47889362763_102021_0.jpg
MLB1148949114,False,False,False,False,MLB1148949114_PHOTOID898350-MLB47889439341_102021_1.jpg
MLB1152568917,False,False,False,False,MLB1152568917_PHOTOID675993-MLB79174959847_092024_1.jpg
MLB1152568917,False,False,False,False,MLB1152568917_PHOTOID757245-MLB78936220660_092024_2.jpg
MLB1152568917,False,False,False,False,MLB1152568917_PHOTOID925557-MLB78936122542_092024_0.jpg
MLB1156792171,False,False,False,False,MLB1156792171_PHOTOID675163-MLB73921009517_012024_3.jpg
MLB1156792171,False,False,False,False,MLB1156792171_PHOTOID856460-MLB73920574093_012024_1.jpg
MLB1156792171,False,False,False,False,MLB1156792171_PHOTOID890172-MLB73820643016_012024_4.jpg
MLB1156792171,False,False,False,False,MLB1156792171_PHOTOID934926-MLB73920861109_012024_0.jpg
MLB1156792171,False,False,False,False,MLB1156792171_PHOTOID960293-MLB73820662832_012024_2.jpg
MLB1157651418,False,False,False,False,MLB1157651418_PHOTOID609347-MLB74840293352_032024_0.jpg
MLB1157651418,False,False,False,False,MLB1157651418_PHOTOID679601-MLB70604689217_072023_1.jpg
MLB1157651418,False,False,False,False,MLB1157651418_PHOTOID756270-MLB70604602063_072023_4.jpg
MLB1157651418,False,False,False,False,MLB1157651418_PHOTOID805509-MLB75819963465_042024_3.jpg
MLB1157651418,False,False,False,False,MLB1157651418_PHOTOID971675-MLB74976739153_032024_2.jpg
MLB1159811480,False,False,False,False,MLB1159811480_PHOTOID655841-MLB72547569274_112023_1.jpg
MLB1159811480,False,False,False,False,MLB1159811480_PHOTOID681798-MLB75633304452_042024_3.jpg
MLB1159811480,False,False,False,False,MLB1159811480_PHOTOID804984-MLB72618074241_112023_5.jpg
MLB1159811480,False,False,False,False,MLB1159811480_PHOTOID805310-MLB76520642459_052024_4.jpg
MLB1159811480,False,False,False,False,MLB1159811480_PHOTOID901452-MLB73827892047_012024_2.jpg
MLB1159811480,False,False,False,False,MLB1159811480_PHOTOID916925-MLB72547569262_112023_0.jpg
MLB1159855500,False,False,False,False,MLB1159855500_PHOTOID807180-MLB73875728261_012024_2.jpg
MLB1159855500,False,False,False,False,MLB1159855500_PHOTOID904856-MLB72956830416_112023_0.jpg
MLB1159855500,False,False,False,False,MLB1159855500_PHOTOID918217-MLB71129704720_082023_4.jpg
MLB1159855500,False,False,False,False,MLB1159855500_PHOTOID925507-MLB76086857757_042024_3.jpg
MLB1159855500,False,False,False,False,MLB1159855500_PHOTOID930086-MLB71129073404_082023_1.jpg
MLB1162330580,False,False,False,False,MLB1162330580_PHOTOID610642-MLB31098336249_062019_0.jpg
MLB1162330580,False,False,False,False,MLB1162330580_PHOTOID855494-MLB31098342562_062019_1.jpg
MLB1167627304,False,False,False,False,MLB1167627304_PHOTOID708315-MLB73711367116_012024_0.jpg
MLB1167627304,False,False,False,False,MLB1167627304_PHOTOID785828-MLB73711367112_012024_2.jpg
